"tow.id","longitude","latitude","station","new.station","fish.sample","longitude.2013","latitude.2013"
"GP199F",-62.5181166666667,47.4330166666667,"fixed 2013","Yes","Yes",NA,NA
"GP219F",-62.3642483333333,47.3822725,"regular","No","No",NA,NA
"GP212F",-62.4495108333333,47.3168591666667,"regular","No","No",NA,NA
"GP196F",-62.5690733333333,47.276665,"regular","No","No",NA,NA
"GP188F",-62.6939333333333,47.2676,"fixed 2013","Yes","No",NA,NA
"GP234F",-62.2321666666667,46.5972333333333,"fixed 2013","Yes","No",NA,NA
"GP240F",-62.2874999520668,47.0365216331786,"regular","Yes","No",NA,NA
"GP265F",-62.0459051013766,46.5678924271616,"regular","Yes","No",NA,NA
"GP274F",-61.70494,46.6129325,"regular","No","No",-61.7218333333333,46.5991666666667
"GP268F",-61.7709208333333,46.6797516666667,"regular","No","No",NA,NA
"GP259F",-61.8856558333333,46.6825516666667,"regular","No","No",-61.8661333333333,46.7398
"GP248F",-61.9684333333333,46.73455,"fixed 2013","Yes","No",NA,NA
"GP263F",-61.8639866666667,46.7728,"regular","No","No",NA,NA
"GP245F",-61.9876983333333,46.7889225,"regular","No","Yes",-62.0053666666667,46.8459333333333
"GP233F",-62.2115733333333,46.811785,"regular","No","No",NA,NA
"GP226F",-62.2087258333333,46.70695,"regular","No","No",NA,NA
"GP220F",-62.2979166666667,46.7329333333333,"fixed 2013","Yes","No",NA,NA
"GP214F",-62.3730308333333,46.6391033333333,"regular","No","Yes",NA,NA
"GP192F",-62.5359608333333,46.614625,"regular","No","Yes",NA,NA
"GP197F",-62.5749866666667,46.6623641666667,"regular","No","Yes",NA,NA
"GP189F",-62.6784666666667,46.5796141666667,"regular","No","Yes",NA,NA
"GP174F",-62.7818166666667,46.6945166666667,"fixed 2013","Yes","No",NA,NA
"GP162F",-62.8447883333333,46.6060141666667,"regular","No","No",NA,NA
"GP154F",-63.0654633333333,46.6018025,"regular","No","No",NA,NA
"GP133F",-63.1650266666667,46.620375,"regular","No","Yes",NA,NA
"GP141F",-63.1164825,46.6753975,"regular","No","No",-63.0553333333333,46.7198166666667
"GP170F",-62.875895,46.70551,"regular","No","No",NA,NA
"GP159F",-62.9009333333333,46.8322666666667,"fixed 2013","Yes","Yes",NA,NA
"GP184F",-62.7140166666667,46.8349333333333,"fixed 2013","Yes","No",NA,NA
"GP202F",-62.49635,46.7967166666667,"fixed 2013","Yes","No",NA,NA
"GP206F",-62.437825,46.8815366666667,"regular","No","Yes",NA,NA
"GP215F",-62.3566,46.9718833333333,"fixed 2013","Yes","No",NA,NA
"GP198F",-62.5399666666667,46.9357833333333,"fixed 2013","Yes","No",NA,NA
"GP179F",-62.6876791666667,47.0131116666667,"regular","No","No",NA,NA
"GP176F",-62.7721575,46.989385,"regular","No","No",NA,NA
"GP158F",-62.9194908333333,46.9418433333333,"regular","No","No",NA,NA
"GP149F",-63.0144183333333,46.9239166666667,"regular","No","Yes",NA,NA
"GP147F",-63.022335,46.8825808333333,"regular","No","Yes",NA,NA
"GP123F",-63.1634333333333,46.86925,"fixed 2013","Yes","Yes",NA,NA
